Institution_ID,Institution,Abbrev,Type,Public,Flagship,URL,Location_ID,Land_Grant,Sea_Grant,Space_Grant,Sun_Grant
211,McGill University,MCGILL,National University,Yes,No,https://www.mcgill.ca/,CA-QC-MON,No,No,No,No
212,Emory University,EMORY,National University,No,No,http://www.emory.edu/,US-GA-DRH,No,No,No,No
213,Duke University,DUKE,National University,No,No,https://en.wikipedia.org/wiki/Duke_University,US-NC-DUR,No,No,No,No
214,Tufts University,TUFTS,National University,No,No,https://www.tufts.edu/,US-MA-MFC,No,No,No,No
215,Rochester Institute of Technology,RIT,Regional University,No,No,http://www.rit.edu/,US-NY-HT8,No,No,No,No
216,"Loyola University, Chicago",LOYOLACHI,National University,No,No,http://www.luc.edu/,US-IL-CHI,No,No,No,No
217,University of Minnesota Twin Cities,UMINNSYS-MINNTC,National University,Yes,Yes,https://twin-cities.umn.edu/,US-MN-MES,Yes,Yes,Yes,No
218,University of Minnesota Duluth,UMINNSYS-MINND,Regional University,Yes,No,http://www.d.umn.edu/,US-MN-DLH,No,No,No,No
219,University of Minnesota Morris,UMINNSYS-MINNM,National Liberal Arts College,Yes,No,http://www.morris.umn.edu/,US-MN-MOX,No,No,No,No
220,University of Minnesota Rochester,UMINNSYS-MINNR,Regional University,Yes,No,http://www.r.umn.edu/,US-MN-RST,No,No,No,No
221,University of Minnesota Crookston,UMINNSYS-MINNC,Regional University,Yes,No,http://www.crk.umn.edu/,US-MN-CKN,No,No,No,No
222,"University of Maryland, College Park",UMDSYS-UMD,National University,Yes,Yes,http://www.umd.edu/,US-MD-CGS,Yes,Yes,Yes,No
223,Yale University,YALE,National University,No,No,http://www.yale.edu/,US-CT-HVN,No,No,No,No
224,Purdue University,PURDUE,National University,Yes,No,http://www.purdue.edu/,US-IN-WLY,Yes,Yes,No,No
225,Indiana University Bloomington,IUS-IUB,National University,Yes,Yes,http://www.indiana.edu/,US-IL-B2L,No,No,No,No
226,Indiana University - Purdue University Indianapolis,IUPUIC,National University,Yes,No,http://www.iupui.edu/,US-IN-IND,No,No,No,No
227,Southwestern University,SOUTHWESTERNUNI,National Liberal Arts College,No,No,http://www.southwestern.edu/,US-TX-GTW,No,No,No,No
228,University of Iowa,IBR-UI,National University,Yes,Yes,http://www.uiowa.edu/,US-IA-IOW,No,No,Yes,No
229,Iowa State University,IBR-ISA,National University,Yes,No,https://www.iastate.edu/,US-IA-AMW,Yes,No,Yes,No
230,University of Northern Iowa,IBR-UNI,Regional University,Yes,No,http://www.uni.edu/,US-IA-CRD,No,No,No,No
231,Drexel University,DREXEL,National University,No,No,http://drexel.edu/,PA-UNICITY,No,No,No,No
232,University of Connecticut,BOT-UCONN,National University,Yes,Yes,http://uconn.edu/,US-CT-STO,Yes,Yes,Yes,No
233,University of New Hampshire,USNH-UNH,National University,Yes,Yes,http://www.unh.edu/,US-NC-DUR,Yes,Yes,Yes,No
234,University of New England,UNINEWENG,Regional University,No,No,http://www.une.edu/,US-ME-PWM,No,No,No,No
235,University of Utah,USHE-UTE,National University,Yes,Yes,http://www.utah.edu/,US-UT-SLC,No,No,Yes,No
236,Rice University,RICEU,National University,No,No,http://www.rice.edu/,US-TX-HOU,No,No,No,No
237,Cornell University,CORNELL,National University,No,No,https://www.cornell.edu/,US-NY-ITH,Yes,Yes,No,No
238,Worcester Polytechnic Institute,WORPOLY,National University,No,No,https://www.wpi.edu/,US-MA-ORH,No,No,No,No
